# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
105.0; 2.360; -35.7; -483.5; 3301.2; -35.7; -424.1; 2844.9; 2367.1; -529.9; 4409.7; 2367.1; -484.1; 3953.3
108.0; 2.422; -35.7; -524.2; 3324.1; -35.7; -455.1; 2831.8; 2359.5; -573.6; 4431.5; 2359.5; -520.4; 3939.1
111.0; 2.485; -35.7; -568.6; 3348.5; -35.7; -488.3; 2817.2; 2352.0; -621.1; 4454.7; 2352.0; -559.3; 3923.4
114.0; 2.547; -35.7; -617.0; 3374.3; -35.7; -523.6; 2801.0; 2344.6; -672.8; 4479.5; 2344.6; -600.8; 3906.2
117.0; 2.609; -35.7; -669.8; 3401.8; -35.7; -561.2; 2783.1; 2337.4; -729.0; 4505.9; 2337.4; -645.3; 3887.2
120.0; 2.671; -35.7; -727.4; 3431.0; -35.7; -601.1; 2763.3; 2330.3; -790.1; 4534.0; 2330.3; -692.7; 3866.4
123.0; 2.732; -35.7; -790.5; 3462.1; -35.7; -643.6; 2741.5; 2323.4; -856.8; 4564.1; 2323.4; -743.4; 3843.6
126.0; 2.794; -35.7; -859.5; 3495.2; -35.7; -688.6; 2717.5; 2316.6; -929.4; 4596.3; 2316.6; -797.5; 3818.6
129.0; 2.855; -35.7; -935.0; 3530.6; -35.7; -736.1; 2691.2; 2309.9; -1008.6; 4630.8; 2309.9; -855.0; 3791.4
132.0; 2.916; -35.7; -1017.3; 3568.3; -35.7; -786.0; 2662.5; 2303.3; -1094.8; 4667.5; 2303.3; -916.1; 3761.8
135.0; 2.976; -35.7; -1106.6; 3608.2; -35.7; -838.0; 2631.4; 2296.9; -1188.2; 4706.5; 2296.9; -980.5; 3729.8
138.0; 3.037; -35.7; -1202.5; 3650.2; -35.7; -891.3; 2598.2; 2290.6; -1288.6; 4747.6; 2290.6; -1047.7; 3695.6
141.0; 3.097; -35.7; -1303.9; 3693.7; -35.7; -945.0; 2563.2; 2284.5; -1395.1; 4790.4; 2284.5; -1116.9; 3659.8
144.0; 3.157; -35.7; -1408.6; 3738.1; -35.7; -997.8; 2527.3; 2278.4; -1505.9; 4833.9; 2278.4; -1186.6; 3623.1
147.0; 3.217; -35.7; -1513.7; 3782.2; -35.7; -1047.9; 2491.5; 2272.5; -1618.4; 4877.2; 2272.5; -1255.2; 3586.5
